alpha,gap,objective_value,testing_accuracy,testing_instances,training_accuracy,training_instances,number_of_classes,number of features,baseline_accuracy
0.0,0.4712101258413813,282.3536673928831,0.6965811965811967,156,0.7185501066098081,469,3,4,0.4676616915422885
0.5,0.28487810265330354,270.0850105317995,0.673076923076923,156,0.7313432835820896,469,3,4,0.4690831556503198
1.0,0.24711199398034053,274.9535018521246,0.6623931623931624,156,0.7313432835820896,469,3,4,0.4633972992181947
1.5,0.21909601801012135,274.80388909088464,0.6880341880341879,156,0.7263681592039801,469,3,4,0.4747690120824449
2.0,0.1187997696604038,276.959879171744,0.6452991452991452,156,0.7107320540156361,469,3,4,0.46624022743425736
2.5,0.0,269.3118850117132,0.6431623931623931,156,0.7377398720682303,469,3,4,0.4697938877043355
3.0,0.5796114746272468,287.6795153326992,0.6645299145299145,156,0.7178393745557924,469,3,4,0.474769012082445
3.5,0.16110337054993193,284.36747052158006,0.6602564102564102,156,0.7256574271499644,469,3,4,0.4697938877043355
4.0,0.0,295.72008279847734,0.6880341880341881,156,0.7213930348258707,469,3,4,0.4605543710021322
4.5,0.0,282.51455065601266,0.6623931623931624,156,0.7313432835820896,469,3,4,0.4683724235963042
5.0,0.5742361777023534,303.7023341523341,0.7008547008547009,156,0.7043354655294953,469,3,4,0.47192608386638235
